Year,Month,Layer_Herd,Unit,Date,Layer_Herd_LTM,YoY_Growth_1y,YoY_Growth_2y,YoY_Growth_3y
2020,JUN,61090000,HEAD,2020-06-01,60086916.666666664,2.813962099027223,3.5564144290751276,6.538079210338155
2020,JUL,61089000,HEAD,2020-07-01,60255833.333333336,3.4319867258135517,4.677941705649524,6.772817841786982
2020,AUG,60593000,HEAD,2020-08-01,60434416.666666664,3.666381522668938,5.333333333333323,6.324027443892688
2020,SEP,60650000,HEAD,2020-09-01,60617750.0,3.763900769888795,5.732017712074189,5.225719143620533
2020,OCT,60555000,HEAD,2020-10-01,60744416.666666664,2.5747437960531805,5.068188916264704,5.998809690519535
2020,NOV,60942000,HEAD,2020-11-01,60905583.333333336,3.2775216919739725,5.525445446832089,6.762201744858265
2020,DEC,61758000,HEAD,2020-12-01,61053000.0,2.9488739602260505,6.035060007211168,7.953433086281647
2021,JAN,62084000,HEAD,2021-01-01,61136250.0,1.63542604567406,4.905290549331709,6.85162556150285
2021,FEB,62303000,HEAD,2021-02-01,61257416.666666664,2.389521602655753,4.753177752370696,7.145559606521301
2021,MAR,63258000,HEAD,2021-03-01,61385666.666666664,2.4935595197589144,6.432236897451005,6.7735673896531345
2021,APR,63078000,HEAD,2021-04-01,61519000.0,2.6025570122645503,5.895980928717726,5.915540256905372
2021,MAY,62661000,HEAD,2021-05-01,61671750.0,3.013414874728748,4.391503540191577,5.035452671103147
2021,JUN,62030000,HEAD,2021-06-01,61750083.333333336,1.5387133737109204,4.3959742838870275,5.149850827230806
2021,JUL,61514000,HEAD,2021-07-01,61785500.0,0.6957062646302914,4.151569537096611,5.406192703781754
2021,AUG,61347000,HEAD,2021-08-01,61848333.333333336,1.2443681613387714,4.95637296834901,6.644067796610176
2021,SEP,60982000,HEAD,2021-09-01,61876000.0,0.5474031327287632,4.331907613344743,6.3107980893274185
2021,OCT,60927000,HEAD,2021-10-01,61907000.0,0.6143175625464403,3.2048784619293613,5.713641253426793
2021,NOV,61267000,HEAD,2021-11-01,61934083.333333336,0.5332939516261348,3.8282944685466447,6.088206264826579
2021,DEC,62323000,HEAD,2021-12-01,61981166.666666664,0.914861232552866,3.8907132974378644,7.005133664131313
2022,JAN,62114000,HEAD,2022-01-01,61983666.666666664,0.048321628761027746,1.684537938937547,4.95598249438165
2022,FEB,62732000,HEAD,2022-02-01,62019416.666666664,0.6885703738182647,3.094545514305902,5.474477100006725
2022,MAR,62407000,HEAD,2022-03-01,61948500.0,-1.3452843909070755,1.11472966185453,5.000420627576352
2022,APR,62506000,HEAD,2022-04-01,61900833.333333336,-0.9068137861060865,1.6721428803799787,4.9357015747238275
2022,MAY,62800000,HEAD,2022-05-01,61912416.666666664,0.22182856960468733,3.2419280594462974,4.623073719283632
2022,JUN,62112000,HEAD,2022-06-01,61919250.0,0.13219409962921258,1.672941561630381,4.53397960214077
2022,JUL,62257000,HEAD,2022-07-01,61981166.666666664,1.20785512241115,1.9119645107957162,5.409569604822062
2022,AUG,62089000,HEAD,2022-08-01,62043000.0,1.2095130976249813,2.468932054857831,6.225834046193324
2022,SEP,61849000,HEAD,2022-09-01,62115250.0,1.4217310025909313,1.9769167353668626,5.815226689478181
2022,OCT,61595000,HEAD,2022-10-01,62170916.666666664,1.096394045332949,1.7174469490545796,4.3364106038790595
2022,NOV,61414000,HEAD,2022-11-01,62183166.666666664,0.23993340623826853,0.7745069082077949,4.077413232104132
2022,DEC,61770000,HEAD,2022-12-01,62137083.333333336,-0.8873128700479738,0.01943068104537371,2.9688776275650586
2023,JAN,62331000,HEAD,2023-01-01,62155166.666666664,0.3493576327397996,0.39784807679916767,2.03978063354342
2023,FEB,63418000,HEAD,2023-02-01,62212333.333333336,1.0935407766371252,1.7896409482689446,4.221926407993548
2023,MAR,63836000,HEAD,2023-03-01,62331416.666666664,2.2898072331629438,0.9137184229662587,3.430062055444849
2023,APR,64435000,HEAD,2023-04-01,62492166.666666664,3.086103734041523,2.151304733821613,4.809850678291427
2023,MAY,64323000,HEAD,2023-05-01,62619083.333333336,2.4251592356687945,2.6523675013166104,5.745709212862504
2023,JUN,64367000,HEAD,2023-06-01,62807000.0,3.630538382277182,3.7675318394325252,5.364216729415627
2023,JUL,63815000,HEAD,2023-07-01,62936833.333333336,2.5025298360023873,3.7406118932275634,4.462341829134542
2023,AUG,63018000,HEAD,2023-08-01,63014250.0,1.4962392694358062,2.723849576996429,4.002112455234097
2023,SEP,63045000,HEAD,2023-09-01,63113916.666666664,1.9337418551633734,3.3829654652192342,3.9488870568837653
2023,OCT,63103000,HEAD,2023-10-01,63239583.333333336,2.448250669697205,3.57148718958753,4.207745025183707
2023,NOV,63332000,HEAD,2023-11-01,63399416.666666664,3.123066401797625,3.37049308763282,3.9217616750352846
2023,DEC,63524000,HEAD,2023-12-01,63545583.333333336,2.839566132426752,1.9270574266322171,2.859548560510383
2024,JAN,62634000,HEAD,2024-01-01,63570833.333333336,0.4861144534822115,0.8371703641691042,0.8858965272856123
2024,FEB,62090000,HEAD,2024-02-01,63460166.666666664,-2.0940427008104945,-1.0234011349869232,-0.3418775981894884
2024,MAR,62484000,HEAD,2024-03-01,63347500.0,-2.117927188420332,0.12338359478905048,-1.223560656359668
2024,APR,61798000,HEAD,2024-04-01,63127750.0,-4.092496314115001,-1.1326912616388851,-2.0292336472304107
2024,MAY,61327000,HEAD,2024-05-01,62878083.333333336,-4.657742953531397,-2.3455414012738873,-2.1289159126091195
2024,JUN,61831000,HEAD,2024-06-01,62666750.0,-3.939907095250672,-0.452408552292638,-0.32081251007577416
2024,JUL,61589000,HEAD,2024-07-01,62481250.0,-3.488208101543522,-1.072971714024129,0.12192346457717829
2024,AUG,61485000,HEAD,2024-08-01,62353500.0,-2.43263829382081,-0.9727971138204783,0.22494987529952937
2024,SEP,61299000,HEAD,2024-09-01,62208000.0,-2.7694503925767333,-0.8892625588125869,0.5198255222852666
2024,OCT,60709000,HEAD,2024-10-01,62008500.0,-3.793797442276914,-1.4384284438672013,-0.3578052423391931
2024,NOV,60906000,HEAD,2024-11-01,61806333.333333336,-3.830606960146532,-0.8271729573061548,-0.5892242153198279
2024,DEC,61100000,HEAD,2024-12-01,61604333.333333336,-3.815880612052136,-1.0846689331390658,-1.9623573961458862
2025,JAN,61928000,HEAD,2025-01-01,61545500.0,-1.1271833189641423,-0.6465482665126476,-0.2994493994912584
2025,FEB,61611000,HEAD,2025-02-01,61505583.333333336,-0.7714607827347453,-2.8493487653347582,-1.78696677931518
