Year,Month,Heads,Heads Unit,Weight,Weight Unit,Volume,Volume Unit
2010,FEB,1334324000,HEAD,7499834000,"LB, LIVE BASIS",-8439535571493551616,"HEAD × LB, LIVE BASIS"
2010,MAR,1536178000,HEAD,8651251000,"LB, LIVE BASIS",-5156882615031551616,"HEAD × LB, LIVE BASIS"
2010,APR,1465719000,HEAD,8315748000,"LB, LIVE BASIS",-6258194230897551616,"HEAD × LB, LIVE BASIS"
2010,MAY,1446381000,HEAD,8258350000,"LB, LIVE BASIS",-6502023542359551616,"HEAD × LB, LIVE BASIS"
2010,JUN,1525637000,HEAD,8589912000,"LB, LIVE BASIS",-5341656499765551616,"HEAD × LB, LIVE BASIS"
2010,JUL,1497013000,HEAD,8380276000,"LB, LIVE BASIS",-5901361958121551616,"HEAD × LB, LIVE BASIS"
2010,AUG,1575443000,HEAD,8787198000,"LB, LIVE BASIS",-4603014494995551616,"HEAD × LB, LIVE BASIS"
2010,SEP,1546910000,HEAD,8878307000,"LB, LIVE BASIS",-4712802192339551616,"HEAD × LB, LIVE BASIS"
2010,OCT,1479602000,HEAD,8691760000,"LB, LIVE BASIS",-5586398594189551616,"HEAD × LB, LIVE BASIS"
2010,NOV,1450174000,HEAD,8534304000,"LB, LIVE BASIS",-6070518304813551616,"HEAD × LB, LIVE BASIS"
2010,DEC,1485076000,HEAD,8686504000,"LB, LIVE BASIS",-5546625459405551616,"HEAD × LB, LIVE BASIS"
2009,JAN,1422409000,HEAD,7915816000,"LB, LIVE BASIS",-7187216152965551616,"HEAD × LB, LIVE BASIS"
2009,FEB,1345053000,HEAD,7464715000,"LB, LIVE BASIS",-8406306768814551616,"HEAD × LB, LIVE BASIS"
2009,MAR,1489569000,HEAD,8276062000,"LB, LIVE BASIS",-6118978676431551616,"HEAD × LB, LIVE BASIS"
2009,APR,1480308000,HEAD,8258755000,"LB, LIVE BASIS",-6221242977169551616,"HEAD × LB, LIVE BASIS"
2009,MAY,1420761000,HEAD,7942465000,"LB, LIVE BASIS",-7162399557844551616,"HEAD × LB, LIVE BASIS"
