DATE,GLOBAL_CURNCY_SAR
2006-03-15,3.7511
2006-03-16,3.7511
2006-03-17,3.7504
2006-03-20,3.7511
2006-03-21,3.7511
2006-03-22,3.7511
2006-03-23,3.7511
2006-03-24,3.7506
2006-03-27,3.7511
2006-03-28,3.7511
2006-03-29,3.7512
2006-03-30,3.7512
2006-03-31,3.7507
2006-04-03,3.7516
2006-04-04,3.7516
2006-04-05,3.7507
2006-04-06,3.7506
2006-04-07,3.7506
2006-04-10,3.7515
2006-04-11,3.7507
2006-04-12,3.7507
2006-04-13,3.7516
2006-04-14,3.7515
2006-04-17,3.7515
2006-04-18,3.7506
2006-04-19,3.7509
2006-04-20,3.7511
2006-04-21,3.7509
2006-04-24,3.7506
2006-04-25,3.7505
2006-04-26,3.7506
2006-04-27,3.7507
2006-04-28,3.7507
2006-05-01,3.7507
2006-05-02,3.7508
2006-05-03,3.7505
2006-05-04,3.7505
2006-05-05,3.7508
2006-05-08,3.7507
2006-05-09,3.7505
2006-05-10,3.7504
2006-05-11,3.7504
2006-05-12,3.7481
2006-05-15,3.749
2006-05-16,3.748
2006-05-17,3.7495
2006-05-18,3.7494
2006-05-19,3.7497
2006-05-22,3.7497
2006-05-23,3.7502
2006-05-24,3.7502
2006-05-25,3.7504
2006-05-26,3.7502
2006-05-29,3.7507
2006-05-30,3.7506
2006-05-31,3.7505
2006-06-01,3.7505
2006-06-02,3.7507
2006-06-05,3.7507
2006-06-06,3.7506
2006-06-07,3.7504
2006-06-08,3.7506
2006-06-09,3.7506
2006-06-12,3.7505
