DATE,BR_CAML3_PRICE
2022-05-30,9.01
2022-05-31,9.59
2022-06-01,9.82
2022-06-02,9.7
2022-06-03,9.66
2022-06-06,9.66
2022-06-07,9.96
2022-06-08,9.87
2022-06-09,10.31
2022-06-10,10.23
2022-06-13,9.68
2022-06-14,10.07
2022-06-15,9.9
2022-06-17,9.7
2022-06-20,9.63
2022-06-21,9.7
2022-06-22,9.42
2022-06-23,10.04
2022-06-24,9.84
2022-06-27,9.82
2022-06-28,10.07
2022-06-29,9.92
2022-06-30,9.84
2022-07-01,10.41
2022-07-04,10.68
2022-07-05,10.75
2022-07-06,10.82
2022-07-07,10.64
2022-07-08,10.86
2022-07-11,10.74
2022-07-12,10.82
2022-07-13,10.99
2022-07-14,11.1
2022-07-15,9.67
2022-07-18,9.05
2022-07-19,9.6
2022-07-20,9.69
2022-07-21,9.91
2022-07-22,9.6
2022-07-25,9.57
2022-07-26,9.21
2022-07-27,9.07
2022-07-28,9.22
2022-07-29,9.15
2022-08-01,9.3
2022-08-02,9.38
2022-08-03,9.45
2022-08-04,9.29
2022-08-05,9.26
2022-08-08,9.18
2022-08-09,9.1
2022-08-10,9.36
2022-08-11,9.39
2022-08-12,9.67
2022-08-15,10.04
2022-08-16,10.05
2022-08-17,10.18
2022-08-18,10.21
2022-08-19,10.13
2022-08-22,10.08
2022-08-23,10.35
2022-08-24,10.36
2022-08-25,10.52
2022-08-26,10.31
2022-08-29,10.22
2022-08-30,10.11
2022-08-31,10.01
2022-09-01,10.45
2022-09-02,10.02
2022-09-05,9.92
2022-09-06,9.91
2022-09-08,9.93
2022-09-09,9.95
2022-09-12,9.97
2022-09-13,9.8
2022-09-14,9.92
2022-09-15,10.14
2022-09-16,10.1
2022-09-19,10.03
2022-09-20,10.16
2022-09-21,10.08
2022-09-22,10.27
2022-09-23,10.11
2022-09-26,9.96
2022-09-27,9.8
2022-09-28,9.71
2022-09-29,9.46
2022-09-30,9.49
2022-10-03,9.84
2022-10-04,9.1
2022-10-05,9.05
2022-10-06,9.02
2022-10-07,9.2
2022-10-10,9.08
2022-10-11,8.75
2022-10-13,8.93
2022-10-14,9.29
2022-10-17,9.48
2022-10-18,9.46
2022-10-19,10.39
2022-10-20,10.32
2022-10-21,10.53
2022-10-24,10.72
2022-10-25,10.08
2022-10-26,9.75
2022-10-27,9.87
2022-10-28,10.1
2022-10-31,10.21
2022-11-01,10.17
2022-11-03,10.5
2022-11-04,10.85
