CostName,R$_kg,Year,State,Month,Date
Depreciação,0.04,2010,SC,11,2010-11-01
Custo de capital,0.03,2010,SC,11,2010-11-01
Total,1.41,2010,SC,11,2010-11-01
Ração,0.92,2010,SC,12,2010-12-01
Genética,0.29,2010,SC,12,2010-12-01
Mão de obra,0.08,2010,SC,12,2010-12-01
Sanidade,0.0,2010,SC,12,2010-12-01
Energia elétrica | Cama | Calefação,0.04,2010,SC,12,2010-12-01
Manutenção | Seguro | Funrural,0.01,2010,SC,12,2010-12-01
Transporte,0.04,2010,SC,12,2010-12-01
Outros,0.0,2010,SC,12,2010-12-01
Depreciação,0.04,2010,SC,12,2010-12-01
Custo de capital,0.03,2010,SC,12,2010-12-01
Total,1.46,2010,SC,12,2010-12-01
Ração,0.96,2010,RS,1,2010-01-01
Genética,0.24,2010,RS,1,2010-01-01
