memberStateCode,memberStateName,year,month,category,tonnes,heads,kgPerHead
AT,Austria,2016,May,Bullock,0.95,2.69,353.16
AT,Austria,2016,April,Bullock,1.06,2.93,361.77
AT,Austria,2016,March,Bullock,0.99,2.83,349.82
AT,Austria,2016,February,Bullock,0.98,2.77,353.79
AT,Austria,2016,January,Bullock,0.89,2.55,349.02
AT,Austria,2015,December,Bullock,1.01,2.91,347.08
AT,Austria,2015,November,Bullock,1.12,3.25,344.62
AT,Austria,2015,October,Bullock,1.06,3.05,347.54
AT,Austria,2015,September,Bullock,0.98,2.79,351.25
AT,Austria,2015,August,Bullock,0.73,2.1,347.62
AT,Austria,2015,July,Bullock,0.66,1.89,349.21
AT,Austria,2015,June,Bullock,0.74,2.14,345.79
AT,Austria,2015,May,Bullock,0.87,2.47,352.23
AT,Austria,2015,April,Bullock,0.86,2.51,342.63
AT,Austria,2015,March,Bullock,1.0,2.84,352.11
AT,Austria,2015,February,Bullock,0.81,2.3,352.17
AT,Austria,2015,January,Bullock,0.92,2.62,351.15
AT,Austria,2014,December,Bullock,1.03,2.93,351.54
AT,Austria,2014,November,Bullock,1.09,3.11,350.48
AT,Austria,2014,October,Bullock,1.03,3.0,343.33
AT,Austria,2014,September,Bullock,0.8,2.26,353.98
AT,Austria,2014,August,Bullock,0.68,1.95,348.72
