DATE,GLOBAL_CURNCY_MXN
2006-04-04,10.9265
2006-04-05,11.032
2006-04-06,11.0998
2006-04-07,11.1458
2006-04-10,11.1045
2006-04-11,11.0508
2006-04-12,11.0385
2006-04-13,11.1038
2006-04-14,11.0975
2006-04-17,11.0477
2006-04-18,10.9425
2006-04-19,10.9669
2006-04-20,11.0438
2006-04-21,11.0521
2006-04-24,11.077
2006-04-25,11.152
2006-04-26,11.1463
2006-04-27,11.112
2006-04-28,11.0613
2006-05-01,11.081
2006-05-02,10.9812
2006-05-03,10.9733
2006-05-04,10.9813
2006-05-05,10.9617
2006-05-08,10.933
2006-05-09,10.8768
2006-05-10,10.8537
2006-05-11,10.889
2006-05-12,11.0993
2006-05-15,11.14
2006-05-16,11.0399
2006-05-17,11.205
2006-05-18,11.1639
2006-05-19,11.1949
2006-05-22,11.2587
2006-05-23,11.3593
2006-05-24,11.215
2006-05-25,11.1363
2006-05-26,11.119
2006-05-29,11.196
2006-05-30,11.3043
2006-05-31,11.3373
2006-06-01,11.2395
2006-06-02,11.314
2006-06-05,11.3371
2006-06-06,11.3084
2006-06-07,11.3495
2006-06-08,11.4039
2006-06-09,11.394
2006-06-12,11.445
2006-06-13,11.4775
2006-06-14,11.4498
2006-06-15,11.3865
2006-06-16,11.4445
2006-06-19,11.4825
2006-06-20,11.4383
2006-06-21,11.3913
2006-06-22,11.445
2006-06-23,11.4083
2006-06-26,11.4771
2006-06-27,11.4338
2006-06-28,11.4175
2006-06-29,11.3119
2006-06-30,11.3463
2006-07-03,11.0928
2006-07-04,11.064
2006-07-05,11.2479
2006-07-06,11.0311
2006-07-07,11.0078
2006-07-10,11.0078
2006-07-11,10.9785
2006-07-12,11.0618
2006-07-13,11.0651
2006-07-14,10.9775
2006-07-17,10.9785
2006-07-18,10.9297
2006-07-19,10.8671
2006-07-20,10.8808
2006-07-21,10.981
2006-07-24,10.9025
