DATE,US_SUGAR_NET_LONG
2018-08-14,-78624.0
2018-08-21,-102462.0
2018-08-28,-112803.0
2018-09-04,-116355.0
2018-09-11,-103276.0
2018-09-18,-48228.0
2018-09-25,-68555.0
2018-10-02,-79884.0
2018-10-09,-34322.0
2018-10-16,11560.0
2018-10-23,48801.0
2018-10-30,61324.0
2018-11-06,60841.0
2018-11-13,40851.0
2018-11-20,29985.0
2018-11-27,21877.0
2018-12-04,22669.0
2018-12-11,24755.0
2018-12-18,562.0
2018-12-25,-3137.0
2019-01-01,-20361.0
2019-01-08,-33175.0
2019-01-15,-4838.0
2019-01-22,2860.0
2019-01-29,-7550.0
2019-02-05,-9295.0
2019-02-12,-6137.0
2019-02-19,-3662.0
2019-02-26,5868.0
2019-03-05,-22512.0
2019-03-12,-65987.0
2019-03-19,-55467.0
2019-03-26,-52018.0
2019-04-02,-37999.0
2019-04-09,-16028.0
2019-04-16,-1685.0
2019-04-23,15063.0
2019-04-30,-2416.0
2019-05-07,-48763.0
2019-05-14,-78850.0
2019-05-21,-113856.0
2019-05-28,-116418.0
2019-06-04,-101069.0
2019-06-11,-76388.0
2019-06-18,-23257.0
2019-06-25,-2357.0
2019-07-02,8633.0
2019-07-09,13533.0
2019-07-16,-19154.0
2019-07-23,-87707.0
2019-07-30,-68229.0
2019-08-06,-74887.0
2019-08-13,-81728.0
2019-08-20,-90147.0
2019-08-27,-107309.0
2019-09-03,-119467.0
2019-09-10,-141922.0
2019-09-17,-175713.0
2019-09-24,-148221.0
2019-10-01,-109169.0
2019-10-08,-139322.0
2019-10-15,-148331.0
2019-10-22,-178319.0
2019-10-29,-177567.0
2019-11-05,-167037.0
2019-11-12,-138247.0
2019-11-19,-83451.0
2019-11-26,-66182.0
2019-12-03,-51179.0
2019-12-10,17130.0
2019-12-17,52090.0
2019-12-24,62500.0
2019-12-31,52843.0
2020-01-07,38792.0
2020-01-14,98296.0
2020-01-21,145574.0
2020-01-28,165353.0
2020-02-04,157036.0
2020-02-11,172364.0
2020-02-18,191730.0
2020-02-25,216104.0
2020-03-03,181907.0
2020-03-10,137485.0
2020-03-17,93950.0
2020-03-24,88677.0
2020-03-31,80521.0
