DATE,US_COTTON_NET_LONG
2015-08-25,54320.0
2015-09-01,43453.0
2015-09-08,39595.0
2015-09-15,39414.0
2015-09-22,25721.0
2015-09-29,26841.0
2015-10-06,34291.0
2015-10-13,43803.0
2015-10-20,51874.0
2015-10-27,49974.0
2015-11-03,52126.0
2015-11-10,42988.0
2015-11-17,43352.0
2015-11-24,37960.0
2015-12-01,54547.0
2015-12-08,68703.0
2015-12-15,70968.0
2015-12-22,65543.0
2015-12-29,64529.0
2016-01-05,54001.0
2016-01-12,36007.0
2016-01-19,39259.0
2016-01-26,35258.0
2016-02-02,31398.0
2016-02-09,9718.0
2016-02-16,-3967.0
2016-02-23,-6071.0
2016-03-01,-14172.0
2016-03-08,-23276.0
2016-03-15,-27704.0
2016-03-22,-26037.0
2016-03-29,-28498.0
2016-04-05,-22856.0
2016-04-12,-4231.0
2016-04-19,20234.0
2016-04-26,32768.0
2016-05-03,33946.0
2016-05-10,28179.0
2016-05-17,28682.0
2016-05-24,31747.0
2016-05-31,40293.0
2016-06-07,46536.0
2016-06-14,46716.0
2016-06-21,45225.0
2016-06-28,45199.0
2016-07-05,47109.0
2016-07-12,65748.0
2016-07-19,76543.0
2016-07-26,75883.0
2016-08-02,81441.0
2016-08-09,84180.0
2016-08-16,72764.0
2016-08-23,69389.0
2016-08-30,66744.0
2016-09-06,70315.0
2016-09-13,68856.0
2016-09-20,74357.0
2016-09-27,81542.0
2016-10-04,73454.0
2016-10-11,65352.0
2016-10-18,77428.0
2016-10-25,74704.0
2016-11-01,75534.0
2016-11-08,75864.0
2016-11-15,79664.0
2016-11-22,102812.0
2016-11-29,104364.0
2016-12-06,106772.0
2016-12-13,108304.0
2016-12-20,100019.0
2016-12-27,100266.0
2017-01-03,106022.0
2017-01-10,117474.0
2017-01-17,111931.0
2017-01-24,108195.0
2017-01-31,111431.0
2017-02-07,116487.0
2017-02-14,125212.0
2017-02-21,117434.0
2017-02-28,118939.0
2017-03-07,126667.0
2017-03-14,125203.0
2017-03-21,120793.0
2017-03-28,116880.0
2017-04-04,101480.0
2017-04-11,88156.0
2017-04-18,89645.0
2017-04-25,100987.0
2017-05-02,104863.0
2017-05-09,103936.0
2017-05-16,110019.0
2017-05-23,99950.0
2017-05-30,91830.0
2017-06-06,85592.0
2017-06-13,75544.0
2017-06-20,50796.0
2017-06-27,37541.0
2017-07-04,32885.0
2017-07-11,29378.0
2017-07-18,24476.0
2017-07-25,26931.0
2017-08-01,29275.0
2017-08-08,38587.0
2017-08-15,32207.0
2017-08-22,27234.0
2017-08-29,37151.0
2017-09-05,57354.0
2017-09-12,68886.0
2017-09-19,63616.0
2017-09-26,59267.0
2017-10-03,53512.0
2017-10-10,54660.0
2017-10-17,49976.0
2017-10-24,50495.0
2017-10-31,52420.0
2017-11-07,47998.0
2017-11-14,51143.0
2017-11-21,59163.0
2017-11-28,73885.0
2017-12-05,81308.0
2017-12-12,88851.0
2017-12-19,97530.0
2017-12-26,104822.0
2018-01-02,106554.0
2018-01-09,108183.0
2018-01-16,115949.0
2018-01-23,121305.0
2018-01-30,98617.0
2018-02-06,84931.0
2018-02-13,84692.0
2018-02-20,80355.0
2018-02-27,91820.0
2018-03-06,101819.0
2018-03-13,105329.0
2018-03-20,100626.0
2018-03-27,98728.0
2018-04-03,94299.0
2018-04-10,96369.0
2018-04-17,97065.0
2018-04-24,102565.0
2018-05-01,109046.0
2018-05-08,118363.0
2018-05-15,109925.0
2018-05-22,118394.0
2018-05-29,120456.0
2018-06-05,126399.0
2018-06-12,122946.0
2018-06-19,105191.0
2018-06-26,97871.0
2018-07-03,95184.0
2018-07-10,93821.0
2018-07-17,99291.0
2018-07-24,98268.0
2018-07-31,110378.0
2018-08-07,109237.0
2018-08-14,98025.0
2018-08-21,90517.0
2018-08-28,89524.0
2018-09-04,86814.0
2018-09-11,86911.0
2018-09-18,75817.0
2018-09-25,74045.0
2018-10-02,64832.0
2018-10-09,64668.0
2018-10-16,64028.0
2018-10-23,63717.0
2018-10-30,62422.0
2018-11-06,60325.0
2018-11-13,51964.0
2018-11-20,51013.0
2018-11-27,48115.0
2018-12-04,51877.0
2018-12-11,53375.0
2018-12-18,50575.0
2018-12-25,30463.0
2019-01-01,20835.0
2019-01-08,16272.0
2019-01-15,15200.0
2019-01-22,15615.0
2019-01-29,15518.0
2019-02-05,22277.0
2019-02-12,4550.0
2019-02-19,-1530.0
2019-02-26,759.0
2019-03-05,4868.0
2019-03-12,6706.0
2019-03-19,16354.0
2019-03-26,27458.0
2019-04-02,35539.0
2019-04-09,45536.0
2019-04-16,43214.0
2019-04-23,46138.0
2019-04-30,39502.0
2019-05-07,25535.0
2019-05-14,-4855.0
2019-05-21,-18359.0
2019-05-28,-16217.0
2019-06-04,-11926.0
2019-06-11,-16664.0
2019-06-18,-20582.0
2019-06-25,-26258.0
2019-07-02,-23192.0
2019-07-09,-32201.0
2019-07-16,-31959.0
2019-07-23,-31797.0
2019-07-30,-28870.0
2019-08-06,-35379.0
2019-08-13,-30401.0
2019-08-20,-34041.0
2019-08-27,-35340.0
2019-09-03,-31721.0
2019-09-10,-25788.0
2019-09-17,-17513.0
2019-09-24,-22233.0
2019-10-01,-21363.0
2019-10-08,-23316.0
2019-10-15,-13866.0
2019-10-22,-4874.0
2019-10-29,-4400.0
2019-11-05,-15477.0
2019-11-12,-15391.0
2019-11-19,-15864.0
2019-11-26,-8324.0
2019-12-03,-12146.0
2019-12-10,-3557.0
2019-12-17,7058.0
2019-12-24,20266.0
2019-12-31,25395.0
2020-01-07,24900.0
2020-01-14,33964.0
2020-01-21,31863.0
2020-01-28,34046.0
2020-02-04,30234.0
2020-02-11,36908.0
2020-02-18,37313.0
2020-02-25,28950.0
2020-03-03,14212.0
2020-03-10,3976.0
2020-03-17,-3868.0
2020-03-24,-5505.0
2020-03-31,-9441.0
2020-04-07,-6149.0
2020-04-14,-4709.0
2020-04-21,-4608.0
2020-04-28,-348.0
2020-05-05,-2633.0
2020-05-12,1078.0
2020-05-19,3320.0
2020-05-26,3817.0
2020-06-02,9596.0
2020-06-09,15273.0
2020-06-16,13413.0
2020-06-23,14693.0
2020-06-30,18586.0
2020-07-07,29982.0
2020-07-14,39763.0
2020-07-21,40806.0
2020-07-28,35958.0
2020-08-04,41046.0
2020-08-11,47874.0
2020-08-18,48064.0
2020-08-25,58849.0
2020-09-01,62635.0
2020-09-08,53691.0
2020-09-15,57938.0
2020-09-22,58512.0
2020-09-29,58978.0
2020-10-06,60737.0
2020-10-13,65196.0
2020-10-20,71176.0
2020-10-27,74433.0
2020-11-03,66191.0
2020-11-10,62138.0
2020-11-17,69773.0
2020-11-24,73111.0
2020-12-01,70799.0
2020-12-08,67960.0
2020-12-15,81341.0
2020-12-22,84877.0
2020-12-29,81156.0
2021-01-05,83978.0
2021-01-12,81904.0
2021-01-19,79423.0
2021-01-26,78226.0
2021-02-02,73905.0
2021-02-09,91704.0
2021-02-16,92006.0
2021-02-23,97028.0
2021-03-02,91575.0
2021-03-09,82361.0
2021-03-16,84949.0
2021-03-23,82946.0
2021-03-30,76651.0
2021-04-06,74388.0
2021-04-13,72380.0
2021-04-20,76196.0
2021-04-27,85453.0
2021-05-04,83314.0
2021-05-11,80113.0
2021-05-18,72653.0
2021-05-25,63653.0
2021-06-01,64206.0
2021-06-08,66079.0
2021-06-15,65704.0
2021-06-22,65170.0
2021-06-29,71952.0
2021-07-06,69538.0
2021-07-13,73593.0
2021-07-20,77313.0
2021-07-27,85857.0
2021-08-03,89043.0
2021-08-10,94912.0
2021-08-17,103031.0
2021-08-24,104309.0
2021-08-31,106714.0
2021-09-07,108915.0
2021-09-14,108223.0
2021-09-21,95025.0
2021-09-28,116132.0
2021-10-05,121286.0
2021-10-12,111391.0
2021-10-19,104423.0
2021-10-26,102069.0
2021-11-02,103553.0
2021-11-09,103513.0
2021-11-16,108441.0
2021-11-23,107111.0
2021-11-30,96995.0
2021-12-07,90014.0
2021-12-14,88688.0
2021-12-21,87737.0
2021-12-28,90889.0
2022-01-04,97491.0
2022-01-11,93822.0
2022-01-18,95126.0
2022-01-25,93787.0
2022-02-01,99000.0
2022-02-08,97210.0
2022-02-15,93723.0
2022-02-22,90302.0
2022-03-01,91828.0
2022-03-08,86831.0
2022-03-15,83321.0
2022-03-22,87354.0
2022-03-29,84160.0
2022-04-05,84310.0
2022-04-12,83220.0
2022-04-19,85120.0
2022-04-26,81745.0
2022-05-03,83433.0
2022-05-10,81759.0
2022-05-17,79316.0
2022-05-24,72520.0
2022-05-31,70684.0
2022-06-07,70682.0
2022-06-14,66255.0
2022-06-21,66045.0
2022-06-28,56390.0
2022-07-05,50545.0
2022-07-12,42685.0
2022-07-19,37751.0
2022-07-26,39198.0
2022-08-02,37163.0
2022-08-09,36223.0
2022-08-16,44208.0
2022-08-23,51485.0
2022-08-30,51767.0
2022-09-06,50712.0
2022-09-13,48040.0
2022-09-20,43954.0
2022-09-27,42079.0
2022-10-04,37479.0
2022-10-11,35901.0
2022-10-18,32563.0
2022-10-25,24776.0
2022-11-01,16152.0
2022-11-08,20477.0
2022-11-15,20113.0
2022-11-22,17723.0
2022-11-29,16580.0
2022-12-06,18720.0
2022-12-13,14439.0
2022-12-20,16327.0
2022-12-27,19709.0
2023-01-03,16459.0
2023-01-10,17944.0
2023-01-17,7953.0
2023-01-24,17833.0
2023-01-31,16905.0
2023-02-07,11800.0
2023-02-14,11150.0
2023-02-21,-2969.0
2023-02-28,1724.0
2023-03-07,5933.0
2023-03-14,-2788.0
2023-03-21,-11582.0
2023-03-28,-10121.0
2023-04-04,-6743.0
2023-04-11,-3279.0
2023-04-18,4470.0
2023-04-25,-5413.0
2023-05-02,-7031.0
2023-05-09,1177.0
2023-05-16,1555.0
2023-05-23,22319.0
2023-05-30,14612.0
2023-06-06,16469.0
2023-06-13,11210.0
2023-06-20,6658.0
2023-06-27,-1678.0
2023-07-04,4175.0
2023-07-11,13495.0
2023-07-18,18481.0
2023-07-25,37984.0
2023-08-01,43880.0
2023-08-08,41144.0
2023-08-15,40718.0
2023-08-22,35677.0
2023-08-29,44850.0
2023-09-05,56410.0
2023-09-12,51382.0
2023-09-19,51049.0
2023-09-26,47780.0
2023-10-03,58162.0
2023-10-10,52333.0
